"policy_file","rule_id","comparison_type","attribute_path","policy_value","rule_value","match_type","score_contribution"
"policy_fuzzy_match.json","BR_TEST_01","Common (Count1)","rule.charges.cptCode","99213","A0021","Mismatch","0"
"policy_fuzzy_match.json","BR_TEST_01","Common (Count1)","rule.charges.modifier","25","AA","Mismatch","0"
"policy_fuzzy_match.json","BR_TEST_01","Common (Count1)","rule.charges.outcome.action","Pend","Deny","Mismatch","0"
"policy_fuzzy_match.json","BR_TEST_01","Common (Count1)","rule.ruleMetaData.payor","Cigna","Aetna","Mismatch","0"
"policy_fuzzy_match.json","BR_TEST_01","Common (Count1)","rule.ruleMetaData.ruleCriteria.keyInformation","The quick brown fox jumps over the lazy cat. This is a test paragraph for jaccard similarity on long strings.","This is the key information for rule 01. It is about ambulance suppliers.","Mismatch","0"
"policy_fuzzy_match.json","BR_TEST_01","Common (Count1)","rule.ruleMetaData.type","Profesional Policy","Reimbursement Policy","Mismatch","0"
"policy_fuzzy_match.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.outcome.new_field_for_policy","True","","No attribute match for exact or fuzzy comparison","0"
"policy_fuzzy_match.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.providerSpecialty","Cardiolgy","","No attribute match for exact or fuzzy comparison","0"
"policy_fuzzy_match.json","BR_TEST_01","Rule-Only (Count3)","rule.charges.providerNetworkStatus","","In-Network","No attribute match for exact or fuzzy comparison","0"
"policy_fuzzy_match.json","BR_TEST_01","Rule-Only (Count3)","rule.ruleMetaData.lineOfBusiness","","Commercial","No attribute match for exact or fuzzy comparison","0"
"policy_fuzzy_match.json","BR_TEST_02","Common (Count1)","rule.charges.cptCode","99213","99213","Exact","1"
"policy_fuzzy_match.json","BR_TEST_02","Common (Count1)","rule.charges.modifier","25","25","Exact","1"
"policy_fuzzy_match.json","BR_TEST_02","Common (Count1)","rule.charges.outcome.action","Pend","Pend","Exact","1"
"policy_fuzzy_match.json","BR_TEST_02","Common (Count1)","rule.charges.providerSpecialty","Cardiolgy","Cardiology","Fuzzy","1"
"policy_fuzzy_match.json","BR_TEST_02","Common (Count1)","rule.ruleMetaData.payor","Cigna","Cigna","Exact","1"
"policy_fuzzy_match.json","BR_TEST_02","Common (Count1)","rule.ruleMetaData.ruleCriteria.keyInformation","The quick brown fox jumps over the lazy cat. This is a test paragraph for jaccard similarity on long strings.","The quick brown fox jumps over the lazy dog. This is a test paragraph for jaccard similarity on long strings.","Fuzzy","1"
"policy_fuzzy_match.json","BR_TEST_02","Common (Count1)","rule.ruleMetaData.type","Profesional Policy","Professional Policy","Fuzzy","1"
"policy_fuzzy_match.json","BR_TEST_02","Policy-Only (Count2)","rule.charges.outcome.new_field_for_policy","True","","No attribute match for exact or fuzzy comparison","0"
"policy_fuzzy_match.json","BR_TEST_03","Common (Count1)","rule.ruleMetaData.payor","Cigna","United","Mismatch","0"
"policy_fuzzy_match.json","BR_TEST_03","Common (Count1)","rule.ruleMetaData.type","Profesional Policy","Facility Policy","Mismatch","0"
"policy_fuzzy_match.json","BR_TEST_03","Policy-Only (Count2)","rule.charges.cptCode","99213","","No attribute match for exact or fuzzy comparison","0"
"policy_fuzzy_match.json","BR_TEST_03","Policy-Only (Count2)","rule.charges.modifier","25","","No attribute match for exact or fuzzy comparison","0"
"policy_fuzzy_match.json","BR_TEST_03","Policy-Only (Count2)","rule.charges.outcome.action","Pend","","No attribute match for exact or fuzzy comparison","0"
"policy_fuzzy_match.json","BR_TEST_03","Policy-Only (Count2)","rule.charges.outcome.new_field_for_policy","True","","No attribute match for exact or fuzzy comparison","0"
"policy_fuzzy_match.json","BR_TEST_03","Policy-Only (Count2)","rule.charges.providerSpecialty","Cardiolgy","","No attribute match for exact or fuzzy comparison","0"
"policy_fuzzy_match.json","BR_TEST_03","Policy-Only (Count2)","rule.ruleMetaData.ruleCriteria.keyInformation","The quick brown fox jumps over the lazy cat. This is a test paragraph for jaccard similarity on long strings.","","No attribute match for exact or fuzzy comparison","0"
"policy_fuzzy_match.json","BR_TEST_03","Rule-Only (Count3)","rule.charges.placeOfService","","21","No attribute match for exact or fuzzy comparison","0"
"policy_fuzzy_match.json","BR_TEST_03","Rule-Only (Count3)","rule.charges.revenueCode","","0360","No attribute match for exact or fuzzy comparison","0"
