"policy_file","rule_id","comparison_type","attribute_path","policy_value","rule_value","match_type","score_contribution"
"policy1.json","BR_TEST_01","Common (Count1)","rule.charges.cptCode","","A0021","Mismatch","0"
"policy1.json","BR_TEST_01","Common (Count1)","rule.charges.modifier","","AA","Mismatch","0"
"policy1.json","BR_TEST_01","Common (Count1)","rule.charges.outcome.action","","Deny","Mismatch","0"
"policy1.json","BR_TEST_01","Common (Count1)","rule.charges.providerNetworkStatus","","In-Network","Mismatch","0"
"policy1.json","BR_TEST_01","Common (Count1)","rule.ruleMetaData.lineOfBusiness","","Commercial","Mismatch","0"
"policy1.json","BR_TEST_01","Common (Count1)","rule.ruleMetaData.payor","Aetna","Aetna","Exact","1"
"policy1.json","BR_TEST_01","Common (Count1)","rule.ruleMetaData.ruleCriteria.keyInformation","Reimbursement applies only to Ambulance Suppliers reporting 0000 codes A0021 and A0225 - A0999. Non-Ambulance Suppliers will not be reimbursed for ambulance services. Ambulance transportation claims require a valid two-digit origin and destination modifier; claims without valid modifiers will be denied. The letter 'A' is an intermediate stop modifier used in the second position. If in the first position, the claim will be denied. Services such as surgery, surgery, aftercare, outpatient, etc. and might differential are...","This is the key information for rule 01. It is about ambulance suppliers.","Mismatch","0"
"policy1.json","BR_TEST_01","Common (Count1)","rule.ruleMetaData.type","Reimbursement Policy","Reimbursement Policy","Exact","1"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.BSSGChargeType","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.attendingProviderSpecialty","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.bilateralSurgeryFlag","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.chargeAmountPerUnit","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.chargeCount","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.chargeFromDate","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.chargeLineAmount","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.chargeOutputLabel","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.chargeOutstandingAmount","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.chargeTelehealthStatus","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.chargeToDate","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.cptCodeFromCharge","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.diagnosisCode","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.diagnosisCodeFromCharge","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.diagnosisCodePointer","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.diagnosisCodeType","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.emergencyCheckBox","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.familyPlanningChargeLine","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.feeScheduled","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.modifierFromCharge","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.outcome.allowManualOverride","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.outcome.attachmentStub","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.outcome.attachmentType","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.outcome.codingGuidelines","UnitedHealthcare considers only Ambulance Suppliers eligible for reimbursement of ambulance services reported with HCPCS codes A0821 and A822 Non-Ambulance Suppliers should report CPT and/or HCPCS codes outside this range. Ambulance transportation claims must include a valid two-digit origin and destination modifier as per CMS guidelines. The letter ""X"" as an intermediate stop...","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.outcome.errorText","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.outcome.fixText","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.outcome.forceDrop","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.outcome.forceDropReasonId","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.outcome.genericAdditionalText","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.outcome.informationClaimNote","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.outcome.new_field","True","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.outcome.nextClassStatus","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.outcome.overrideLegacyRuleId","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.outcome.userOverrideAvailable","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.pcpSpecialty","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.placeOfService","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.placeOfServiceFromCharge","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.procedureCode","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.providerSpecialty","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.referringProviderSpecialty","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.revenueCode","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.revenueCodeFromCharge","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.therapyChargeType","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.payer.insurancePackage.claimRuleCategory","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.payer.insurancePackage.claimRuleId","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.billingGroup.claimType","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.billingGroup.healthCareClaimType","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.brid","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.claimAmount","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.claimRuleCategory","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.claimRuleId","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.claimRuleType","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.effectiveDate","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.expirationDate","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.id","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.referralAuthorization.authorizationNumber","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.requestType","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.requesterCategory","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.ruleCriteria.action","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.ruleCriteria.allowManualOverride","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.ruleCriteria.applyToAllUsersForService","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.ruleCriteria.businessReason.explanation","UnitedHealthcare reimbursement policies align with CMS guidelines and require accurate coding and modifier usage to ensure proper reimbursement. The policy is subject to change and updates are published accordingly.","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.ruleCriteria.businessReason.impact","Claims without valid two-digit ambulance modifiers will be denied.","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.ruleCriteria.documentDate","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.ruleCriteria.nextClaimStatus","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.ruleId","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.ruleStatus","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.ruleVersion","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.serviceDate","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_01","Policy-Only (Count2)","rule.ruleMetaData.transferredBy","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_02","Common (Count1)","rule.charges.cptCode","","99213","Mismatch","0"
"policy1.json","BR_TEST_02","Common (Count1)","rule.charges.modifier","","25","Mismatch","0"
"policy1.json","BR_TEST_02","Common (Count1)","rule.charges.outcome.action","","Pend","Mismatch","0"
"policy1.json","BR_TEST_02","Common (Count1)","rule.charges.providerSpecialty","","Cardiology","Mismatch","0"
"policy1.json","BR_TEST_02","Common (Count1)","rule.ruleMetaData.payor","Aetna","Cigna","Mismatch","0"
"policy1.json","BR_TEST_02","Common (Count1)","rule.ruleMetaData.ruleCriteria.keyInformation","Reimbursement applies only to Ambulance Suppliers reporting 0000 codes A0021 and A0225 - A0999. Non-Ambulance Suppliers will not be reimbursed for ambulance services. Ambulance transportation claims require a valid two-digit origin and destination modifier; claims without valid modifiers will be denied. The letter 'A' is an intermediate stop modifier used in the second position. If in the first position, the claim will be denied. Services such as surgery, surgery, aftercare, outpatient, etc. and might differential are...","The quick brown fox jumps over the lazy dog. This is a test paragraph for jaccard similarity on long strings.","Mismatch","0"
"policy1.json","BR_TEST_02","Common (Count1)","rule.ruleMetaData.type","Reimbursement Policy","Professional Policy","Mismatch","0"
"policy1.json","BR_TEST_02","Policy-Only (Count2)","rule.charges.BSSGChargeType","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_02","Policy-Only (Count2)","rule.charges.attendingProviderSpecialty","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_02","Policy-Only (Count2)","rule.charges.bilateralSurgeryFlag","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_02","Policy-Only (Count2)","rule.charges.chargeAmountPerUnit","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_02","Policy-Only (Count2)","rule.charges.chargeCount","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_02","Policy-Only (Count2)","rule.charges.chargeFromDate","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_02","Policy-Only (Count2)","rule.charges.chargeLineAmount","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_02","Policy-Only (Count2)","rule.charges.chargeOutputLabel","","","No attribute match for exact or fuzzy comparison","0"
"policy1.json","BR_TEST_02","Policy-Only (Count2)","rule.charges.chargeOutstandingAmount","","","No attribute match for exact or fuzzy comparison","0"
