"policy_file","rule_id","comparison_type","attribute_path","policy_value","rule_value","match_type","score_contribution"
"policy_new.json","BR_TEST_01","Common (Count1)","rule.charges.cptCode","D2740","A0021","Mismatch","0"
"policy_new.json","BR_TEST_01","Common (Count1)","rule.charges.modifier","","AA","Mismatch","0"
"policy_new.json","BR_TEST_01","Common (Count1)","rule.ruleMetaData.lineOfBusiness","Dental PPO","Commercial","Mismatch","0"
"policy_new.json","BR_TEST_01","Common (Count1)","rule.ruleMetaData.payor","MetLife","Aetna","Mismatch","0"
"policy_new.json","BR_TEST_01","Common (Count1)","rule.ruleMetaData.type","Dental Policy","Reimbursement Policy","Mismatch","0"
"policy_new.json","BR_TEST_01","Policy-Only (Count2)","rule.charges.providerSpecialty","Dentist","","No attribute match for exact or fuzzy comparison","0"
"policy_new.json","BR_TEST_01","Rule-Only (Count3)","rule.charges.outcome.action","","Deny","No attribute match for exact or fuzzy comparison","0"
"policy_new.json","BR_TEST_01","Rule-Only (Count3)","rule.charges.providerNetworkStatus","","In-Network","No attribute match for exact or fuzzy comparison","0"
"policy_new.json","BR_TEST_01","Rule-Only (Count3)","rule.ruleMetaData.ruleCriteria.keyInformation","","This is the key information for rule 01. It is about ambulance suppliers.","No attribute match for exact or fuzzy comparison","0"
"policy_new.json","BR_TEST_02","Common (Count1)","rule.charges.cptCode","D2740","99213","Mismatch","0"
"policy_new.json","BR_TEST_02","Common (Count1)","rule.charges.modifier","","25","Mismatch","0"
"policy_new.json","BR_TEST_02","Common (Count1)","rule.charges.providerSpecialty","Dentist","Cardiology","Mismatch","0"
"policy_new.json","BR_TEST_02","Common (Count1)","rule.ruleMetaData.payor","MetLife","Cigna","Mismatch","0"
"policy_new.json","BR_TEST_02","Common (Count1)","rule.ruleMetaData.type","Dental Policy","Professional Policy","Mismatch","0"
"policy_new.json","BR_TEST_02","Policy-Only (Count2)","rule.ruleMetaData.lineOfBusiness","Dental PPO","","No attribute match for exact or fuzzy comparison","0"
"policy_new.json","BR_TEST_02","Rule-Only (Count3)","rule.charges.outcome.action","","Pend","No attribute match for exact or fuzzy comparison","0"
"policy_new.json","BR_TEST_02","Rule-Only (Count3)","rule.ruleMetaData.ruleCriteria.keyInformation","","The quick brown fox jumps over the lazy dog. This is a test paragraph for jaccard similarity on long strings.","No attribute match for exact or fuzzy comparison","0"
"policy_new.json","BR_TEST_03","Common (Count1)","rule.ruleMetaData.payor","MetLife","United","Mismatch","0"
"policy_new.json","BR_TEST_03","Common (Count1)","rule.ruleMetaData.type","Dental Policy","Facility Policy","Mismatch","0"
"policy_new.json","BR_TEST_03","Policy-Only (Count2)","rule.charges.cptCode","D2740","","No attribute match for exact or fuzzy comparison","0"
"policy_new.json","BR_TEST_03","Policy-Only (Count2)","rule.charges.modifier","","","No attribute match for exact or fuzzy comparison","0"
"policy_new.json","BR_TEST_03","Policy-Only (Count2)","rule.charges.providerSpecialty","Dentist","","No attribute match for exact or fuzzy comparison","0"
"policy_new.json","BR_TEST_03","Policy-Only (Count2)","rule.ruleMetaData.lineOfBusiness","Dental PPO","","No attribute match for exact or fuzzy comparison","0"
"policy_new.json","BR_TEST_03","Rule-Only (Count3)","rule.charges.placeOfService","","21","No attribute match for exact or fuzzy comparison","0"
"policy_new.json","BR_TEST_03","Rule-Only (Count3)","rule.charges.revenueCode","","0360","No attribute match for exact or fuzzy comparison","0"
